OwnerKey,Company,LastName,FirstName,Phone,CellPhone,Email,MailingAddress,MailCity,MailState,MailZipCode,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZipCode,SecondLastName,SecondFirstName,SecondCtctPhone,SecondCtctEmail,OwnerComment,OBJECTID,GlobalID
OWNER_b1a7944d1978,Company_9d6fc041,Last_e7cc6294,First_e62390f3,5050375952,5057977335,user_61ad425f9d@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_1369f5fb,City_a4384e88,ZZ,87851,Last_d178528e,First_831d4b90,5051928621,user_715c4f12e0@example.com,Note_2168f0cd,1458,C1698D00-F38F-4871-99F8-0023CC22E71F
OWNER_d2bf90cc310e,Company_9d6fc041,Last_7a46e0d1,First_35798c05,5058217643,5050375952,user_efa03cffa5@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_f6d49341,City_81793998,ZZ,05295,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,1729,616E6996-5F32-C84D-8A53-0080ADC5925D
OWNER_ce2d3a6f5660,Company_9d6fc041,Last_3c0d67de,First_667d7a29,5059046791,5050375952,user_715c4f12e0@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_a226cdca,City_c05d421a,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_c2814c13,288,78BBD091-96A1-42BC-A3BB-0081994B9473
OWNER_f80bd9da45f6,Company_57a603ad,Last_e5f5dddf,First_7384e837,5058662176,5050375952,user_715c4f12e0@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_a226cdca,City_c05d421a,ZZ,72477,Last_4fc6d271,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_bd62699f,1058,22844C37-ABBA-4D63-B77A-00CE2BD6E82A
OWNER_9cd67913130a,Company_9d6fc041,Last_e39e0d6b,First_1b8d7e87,5057049342,5057226804,user_59173652aa@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_6f46975a,City_223baac0,ZZ,83181,Last_646ea07a,First_67b4b0ed,5050375952,user_715c4f12e0@example.com,Note_c64c0968,1370,836C177F-61D8-46A8-8CF4-00DB8EFEF28C
OWNER_9fdc2dad0eca,Company_9d6fc041,Last_5da24d7e,First_3a1e98b5,5058977332,5050375952,user_715c4f12e0@example.com,Address_56ed36fb,City_c0fbf85c,ZZ,75073,Address_7b2e618e,City_76200585,ZZ,75073,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,1322,A1A51244-18A5-43CA-B86C-00EAA8843802
OWNER_74768a486833,Company_a6b5cc7c,Last_e77b03e1,First_1f3e65c3,5055770134,5050375952,user_ef17614e5b@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_a226cdca,City_c05d421a,ZZ,72477,Last_8b52eb13,First_c8532e7b,5050835615,user_797d330e41@example.com,Note_20dc7d55,1076,4B4A890F-E823-4884-AA51-010F0696D2D1
OWNER_3f065b9ff597,Company_9d6fc041,Last_42217342,First_e8bc681f,5050375952,5050375952,user_715c4f12e0@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_a226cdca,City_c05d421a,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_8671cb4a,999,6CE91B61-6445-4AFA-AF2D-013392F01427
OWNER_2502b132ddcc,Company_9d6fc041,Last_0e08832b,First_098b7a78,5053462468,5050375952,user_715c4f12e0@example.com,Address_f89883a1,City_c0fbf85c,ZZ,75073,Address_82ada321,City_76200585,ZZ,75073,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,1238,F50145F2-66F8-4C97-87C7-01477F33A09B
OWNER_9500e91f0236,Company_9d6fc041,Last_e6755df2,First_0711f637,5059516916,5050375952,user_715c4f12e0@example.com,Address_87d5823b,City_c0fbf85c,ZZ,75073,Address_bed4faf7,City_76200585,ZZ,75073,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,1298,F2853AAB-B3AF-4DC1-B23D-01519FDCFBDA
OWNER_08af181ff65f,Company_9d6fc041,Last_0438958b,First_e3d291d3,5050375952,5050375952,user_715c4f12e0@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_a226cdca,City_c05d421a,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,105,34D901DE-BEA8-4319-8097-0211D9DF9236
OWNER_b299bd7151bf,Company_9d6fc041,Last_65913f90,First_980facc0,5050375952,5054041329,user_36d47b902e@example.com,Address_0ba6eca1,City_61a89ac8,ZZ,21478,Address_3ec5299f,City_03ac272d,ZZ,11928,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,1848,0483500F-3E9C-46AD-B6E6-021524F6EBC5
OWNER_20336d249d60,Company_9d6fc041,Last_82e32478,First_e9c51417,5050238427,5050375952,user_205a51daa8@example.com,Address_e3681ab5,City_fb775d72,ZZ,24366,Address_a226cdca,City_c05d421a,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_84227b74,1002,6BA0E1A1-648C-4B7D-AA50-0234E53132E0
OWNER_102da6bcef7f,Company_9d6fc041,Last_cff23cc4,First_e8a7ac52,5050564793,5050375952,user_a8c0ba90cd@example.com,Address_d5c24a6e,City_ca4bb91c,ZZ,70370,Address_68fe444b,City_17db8506,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,582,F33544D1-9DAF-4C8A-99B3-02563EEA7408
OWNER_1812f304f74a,Company_9d6fc041,Last_96b47d03,First_a82d6021,5050380601,5050375952,user_715c4f12e0@example.com,Address_8e321519,City_0b484003,ZZ,17055,Address_a226cdca,City_c05d421a,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,467,3CC72994-8B98-4C1F-B77D-029306562D21
OWNER_8a2861d70c28,Company_9d6fc041,Last_da006a9e,First_371275b2,5050710443,5056946006,user_ec0a3aba53@example.com,Address_e6089f20,City_e6b38396,ZZ,72477,Address_a602d055,City_1c973d51,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_2168f0cd,1168,AE6A13EA-B27B-4DDB-B838-02B5266AAD37
OWNER_e788bbabd6e6,Company_9d6fc041,Last_e0684e26,First_bf2ec069,5057059235,5050375952,user_715c4f12e0@example.com,Address_f05df871,City_e708c712,ZZ,72477,Address_a226cdca,City_c05d421a,ZZ,72477,Last_d178528e,First_72cae815,5050375952,user_715c4f12e0@example.com,Note_56593de9,688,71F7BD36-41E9-4EEC-A4C0-02CB453C6211
